x, y, theta, stamp, 
-0.9818077683448792, -0.9813311100006104, 0.9750471216897092, 1697808130115375010, 
-0.9818077683448792, -0.9813311100006104, 0.9750471216897092, 1697808130163307507, 
-0.9818077683448792, -0.9813311100006104, 0.9750471216897092, 1697808130211079585, 
-0.9816504120826721, -0.9812970757484436, 0.9762550834039085, 1697808130259974280, 
-0.9808977246284485, -0.9799855351448059, 0.9892069383186624, 1697808130306962093, 
-0.979026198387146, -0.9770944714546204, 1.0110904761868027, 1697808130354961958, 
-0.9764374494552612, -0.9730873107910156, 1.0382830420368987, 1697808130402985719, 
-0.973552405834198, -0.9681026339530945, 1.0732592824458285, 1697808130451246226, 
-0.9702357053756714, -0.9617894887924194, 1.117545977251013, 1697808130499985869, 
-0.9666333198547363, -0.9544786214828491, 1.166545370766109, 1697808130546966959, 
-0.9618383646011353, -0.9426704049110413, 1.2432136006033503, 1697808130611001366, 
-0.9582122564315796, -0.9323245286941528, 1.3118529737138416, 1697808130660164843, 
-0.9553256630897522, -0.9213042259216309, 1.383466775093175, 1697808130707305162, 
-0.9512969255447388, -0.8968486785888672, 1.532945945694901, 1697808130802995828, 
-0.9538816809654236, -0.855435311794281, 1.7918184463234554, 1697808130962982247, 
-0.9600862860679626, -0.8313950896263123, 1.942444260017867, 1697808131059020088, 
-0.9644796252250671, -0.8196576833724976, 2.0210720290617044, 1697808131106972460, 
-0.9760227203369141, -0.7979567050933838, 2.1768095671148875, 1697808131203036066, 
-1.0019420385360718, -0.7664576768875122, 2.432724978935836, 1697808131362985987, 
-1.0213111639022827, -0.7509952187538147, 2.587248203023863, 1697808131459195531, 
-1.0316557884216309, -0.7445917725563049, 2.6642795092006613, 1697808131506970653, 
-1.054073691368103, -0.7339880466461182, 2.819107039150698, 1697808131603046763, 
-1.0898399353027344, -0.7243843078613281, 3.0528748011370714, 1697808131746971397, 
-1.1064850091934204, -0.7227160334587097, -3.1259989734026714, 1697808131812470634, 
-1.1317548751831055, -0.7239397168159485, -2.9810683464022887, 1697808131906973882, 
-1.1575208902359009, -0.7292179465293884, -2.8449990077631044, 1697808132003072239, 
-1.2005765438079834, -0.7461212277412415, -2.6388420495949605, 1697808132163023683, 
-1.2248327732086182, -0.7605976462364197, -2.5201576116438185, 1697808132258838893, 
-1.2360453605651855, -0.768836259841919, -2.463475270221208, 1697808132307013929, 
-1.2573587894439697, -0.7875100374221802, -2.3614078105656593, 1697808132404082316, 
-1.2903063297271729, -0.8240266442298889, -2.2428590040489955, 1697808132563999211, 
-1.3079370260238647, -0.8475735187530518, -2.1826026415073576, 1697808132659015477, 
-1.3161351680755615, -0.8594582676887512, -2.156043269045522, 1697808132707015074, 
-1.3326221704483032, -0.8852878212928772, -2.114010776231382, 1697808132804123062, 
-1.3568623065948486, -0.9273744821548462, -2.077870366501449, 1697808132964014169, 
-1.3707610368728638, -0.9533075094223022, -2.060377545873519, 1697808133059113048, 
-1.3772796392440796, -0.9659024477005005, -2.054646632656234, 1697808133107036981, 
-1.390993595123291, -0.9926550388336182, -2.0486017522937816, 1697808133204087693, 
-1.4138599634170532, -1.0364899635314941, -2.046420025356346, 1697808133363995850, 
-1.4271444082260132, -1.062022089958191, -2.0505032670615138, 1697808133459213036, 
-1.433918833732605, -1.0747716426849365, -2.053957855230027, 1697808133507041856, 
-1.4479314088821411, -1.1012191772460938, -2.0614451186777485, 1697808133604136894, 
-1.4714792966842651, -1.1445029973983765, -2.075271595792039, 1697808133764014331, 
-1.4855639934539795, -1.169922947883606, -2.0841972846295045, 1697808133859156045, 
-1.492613673210144, -1.1823779344558716, -2.087602014579308, 1697808133907146474, 
-1.50757896900177, -1.2080904245376587, -2.09197292476072, 1697808134004132972, 
-1.5327026844024658, -1.2507193088531494, -2.105757897020787, 1697808134164020520, 
-1.5475316047668457, -1.275689959526062, -2.1132079200253924, 1697808134259085966, 
-1.5548875331878662, -1.2878929376602173, -2.1141399224514226, 1697808134307021193, 
-1.5700219869613647, -1.313057780265808, -2.1179696159229393, 1697808134403310307, 
-1.5957194566726685, -1.3544831275939941, -2.1242250929150615, 1697808134563023217, 
-1.611127495765686, -1.3792469501495361, -2.127635479796257, 1697808134659002157, 
-1.6190516948699951, -1.3918845653533936, -2.1280689061072073, 1697808134707004826, 
-1.634519338607788, -1.4165109395980835, -2.1290373407364975, 1697808134803106574, 
-1.6578950881958008, -1.4538096189498901, -2.1290373407364975, 1697808134947028822, 
-1.6757477521896362, -1.4825654029846191, -2.1319817368327394, 1697808135059358166, 
-1.6836073398590088, -1.4953114986419678, -2.132395326923585, 1697808135108023808, 
-1.6990176439285278, -1.5199657678604126, -2.1325955098046045, 1697808135203228267, 
-1.7252411842346191, -1.5615016222000122, -2.1329922956338248, 1697808135363250505, 
-1.7405580282211304, -1.5859261751174927, -2.1340756821902365, 1697808135458853685, 
-1.7485712766647339, -1.5987673997879028, -2.13343111513359, 1697808135508354011, 
-1.7640480995178223, -1.6234253644943237, -2.132512598465329, 1697808135603080837, 
-1.7899434566497803, -1.6645182371139526, -2.1329810264337628, 1697808135762986159, 
-1.805382251739502, -1.6887973546981812, -2.1336345654500013, 1697808135858781783, 
-1.8136236667633057, -1.7016329765319824, -2.134078656701941, 1697808135908333281, 
-1.8291972875595093, -1.726189374923706, -2.1354150751226473, 1697808136003427951, 
-1.855222463607788, -1.7672014236450195, -2.1358990833603873, 1697808136163464079, 
-1.8708428144454956, -1.7915027141571045, -2.1364913729652413, 1697808136259583403, 
-1.8789427280426025, -1.8043420314788818, -2.1364913729652413, 1697808136308125694, 
