x, y, theta, stamp, 
-2.0066468715667725, -2.0049424171447754, -2.1287413718662216, 1697807811858792520, 
-2.0066468715667725, -2.0049424171447754, -2.1287413718662216, 1697807811908696192, 
-2.0066468715667725, -2.0049424171447754, -2.1287413718662216, 1697807811953851354, 
-2.00689697265625, -2.005026340484619, -2.126769076159399, 1697807812002723971, 
-2.0077109336853027, -2.0064640045166016, -2.112075325235083, 1697807812050293274, 
-2.009459972381592, -2.009536027908325, -2.0894794426330177, 1697807812099706958, 
-2.0116806030273438, -2.013766050338745, -2.062930646238766, 1697807812148098679, 
-2.0152478218078613, -2.0207371711730957, -2.0147657293367653, 1697807812211672608, 
-2.0183629989624023, -2.027398109436035, -1.9691665327777237, 1697807812259695359, 
-2.0214781761169434, -2.0349233150482178, -1.9191191651797423, 1697807812306707386, 
-2.0243582725524902, -2.043682813644409, -1.8598358533290515, 1697807812354722850, 
-2.027308702468872, -2.0538511276245117, -1.7914330397106633, 1697807812402668689, 
-2.02960467338562, -2.066103458404541, -1.7169170919352033, 1697807812450799274, 
-2.0322511196136475, -2.0907113552093506, -1.5650818673332854, 1697807812546412837, 
-2.0301365852355957, -2.119962215423584, -1.3816279389314539, 1697807812659028749, 
-2.0241806507110596, -2.1441116333007812, -1.2258797472580925, 1697807812754722880, 
-2.014281988143921, -2.167466640472412, -1.0670786415748914, 1697807812850836184, 
-2.001217842102051, -2.1880252361297607, -0.9146901065240703, 1697807812946561870, 
-1.9821746349334717, -2.210808038711548, -0.7297721243941565, 1697807813059709982, 
-1.9631651639938354, -2.2267954349517822, -0.574255323923704, 1697807813153752030, 
-1.9410070180892944, -2.23968505859375, -0.4161317991903123, 1697807813250873484, 
-1.917869210243225, -2.2488694190979004, -0.258838781170906, 1697807813346180971, 
-1.8888745307922363, -2.255526542663574, -0.07245469734993018, 1697807813460728502, 
-1.8641632795333862, -2.2566463947296143, 0.08096815344344066, 1697807813554717982, 
-1.838346242904663, -2.2534525394439697, 0.2369979521372388, 1697807813650921980, 
-1.8133606910705566, -2.2462234497070312, 0.37875483763673007, 1697807813746047545, 
-1.7850362062454224, -2.2332351207733154, 0.5381549621634139, 1697807813860705537, 
-1.7624984979629517, -2.2185826301574707, 0.6601001422520774, 1697807813954690958, 
