acc_x, acc_y, angular_z, stamp, 
0.008954823017120361, -0.03977334499359131, -1.8301848427832521e-06, 1695997128.7076304, 
-0.009101152420043945, -0.011073589324951172, 8.114746929239474e-11, 1695997128.717889, 
-0.023489773273468018, -0.01437598466873169, -1.5385421728245324e-06, 1695997128.7275736, 
-0.01095569133758545, 0.014277815818786621, 1.3317756715959708e-10, 1695997128.7375383, 
0.01237797737121582, 0.001975119113922119, -1.4632236163757444e-06, 1695997128.7477212, 
0.006936848163604736, 0.007346749305725098, -1.498939959353935e-06, 1695997128.7576613, 
-0.012823164463043213, 0.007563769817352295, 1.705795872982273e-10, 1695997128.767553, 
0.012290596961975098, -0.004895269870758057, -1.175041248751783e-06, 1695997128.7802331, 
0.014041483402252197, 0.006020963191986084, 2.3211830432895256e-10, 1695997128.7875366, 
-0.00043845176696777344, 0.025645673274993896, 1.596521726513642e-10, 1695997128.807533, 
0.006693780422210693, -0.024621784687042236, -1.6119377983505387e-06, 1695997128.8167763, 
-0.007735729217529297, -0.028368711471557617, -1.3712155657277484e-06, 1695997128.8276422, 
0.00659555196762085, -0.003101825714111328, 1.8872229992849314e-10, 1695997128.837411, 
0.001171410083770752, -0.004772484302520752, -1.4677939362424051e-06, 1695997128.8475616, 
-0.0006668567657470703, -0.01191490888595581, 1.7114767155945175e-10, 1695997128.8599422, 
-0.01145857572555542, -0.004621982574462891, -2.0063590421436397e-06, 1695997128.867368, 
-0.007867634296417236, 0.009843707084655762, -1.4843253591231697e-06, 1695997128.8774054, 
-0.006069540977478027, 0.015246152877807617, 2.2571606996715327e-10, 1695997128.8874304, 
-0.004270672798156738, -0.0027466416358947754, -1.5016464201108162e-06, 1695997128.8973522, 
-0.01323556900024414, 0.0007538199424743652, 2.504075668557591e-10, 1695997128.9057755, 
-0.02214127779006958, 0.0009185671806335449, -1.284448888134535e-06, 1695997128.917375, 
-0.022057831287384033, 0.013456106185913086, 1.8515504540540188e-10, 1695997128.9273067, 
0.0013610124588012695, 0.004385769367218018, 1.4693763979582677e-10, 1695997128.93891, 
-0.0003644227981567383, 0.029454588890075684, 1.887879624547132e-10, 1695997128.9472675, 
0.012284576892852783, 0.011671841144561768, -1.4254354337247727e-06, 1695997128.9577203, 
-0.0002551078796386719, 0.011472821235656738, 1.2584456738943915e-10, 1695997128.9673111, 
0.012342989444732666, 0.004218697547912598, -1.4543822194084278e-06, 1695997128.977556, 
0.010543465614318848, -0.028238236904144287, 9.850234072119493e-11, 1695997128.98799, 
0.015929996967315674, -0.020913243293762207, -1.6154733164486261e-06, 1695997128.9972131, 
-0.002049744129180908, -0.015556037425994873, 1.0013939775836369e-10, 1695997129.0072153, 
-0.03255927562713623, 0.013072013854980469, -7.467853528548683e-07, 1695997129.0271642, 
-0.0432090163230896, 0.007875561714172363, 8.101083502263773e-11, 1695997129.037267, 
-0.028720617294311523, 0.013056516647338867, 6.90281132930385e-11, 1695997129.0472968, 
0.010914266109466553, 0.013083875179290771, -1.4969410944138857e-06, 1695997129.0572507, 
-0.017695903778076172, 0.020164430141448975, 4.004638376043071e-11, 1695997129.067982, 
-0.0032039880752563477, 0.009284377098083496, 3.243483837914205e-11, 1695997129.0772533, 
-0.00487440824508667, 0.00024706125259399414, 1.951548617221615e-11, 1695997129.087196, 
-0.011667191982269287, -0.021663427352905273, -3.537908487434567e-14, 1695997129.1476903, 
-0.02235102653503418, 0.023152530193328857, -1.1762118019457529e-12, 1695997129.1570466, 
-0.022212982177734375, 0.005279898643493652, -4.117036132410725e-12, 1695997129.1669867, 
-0.011186182498931885, 0.023091495037078857, 7.466988029810219e-07, 1695997129.1869426, 
-0.016431152820587158, 0.019385099411010742, 7.596211281575937e-12, 1695997129.1969316, 
0.010621905326843262, 0.013822555541992188, 1.9339781063045972e-11, 1695997129.2069714, 
0.04656714200973511, -0.007980287075042725, 1.540451473528616e-11, 1695997129.2168996, 
