,t,imu_ax,imu_ay,odom_omega,odom_x,odom_y,odom_theta,kf_x,kf_y,kf_theta,kf_omega,kf_v,kf_vdot,odom_v
0,1700233842.4681754,0.0217695832252502,-0.0100533366203308,5.678725301550003e-06,-2.3196754455566406,-0.8837732672691345,-1.8053510546435696,-2.319662828431231,-0.883720465556341,-1.8053507707073049,4.259043976162502e-06,0.0002714411873472,0.0163136153595703,0.0
1,1700233842.5649462,-0.0036935806274414,0.004412829875946,4.767064638144802e-06,-2.3196754455566406,-0.8837732672691345,-1.805350814694821,-2.319657917700743,-0.8836999145052712,-1.8053502672645512,5.344580960197801e-06,0.0004593387974009,0.0035688106874678,-0.05605873424740324
2,1700233842.6649497,-0.0058380365371704,0.0024400353431701,-2.373500137764495e-06,-2.3196754455566406,-0.8837732672691345,-1.805350816327652,-2.319663957056035,-0.8837251888130324,-1.8053500057972365,1.2497189275860757e-06,0.0002073292323165,-0.0022752225296997,0.01274529554968238
3,1700233842.76495,0.3859410881996155,0.2059304118156433,-3.810201860687812e-06,-2.3196754455566406,-0.8837732672691345,-1.805350943659496,-2.3195573695772023,-0.8832791274824703,-1.805348395214468,2.4524286961452374e-05,0.0040970769523567,0.237671060968203,-0.03473672805814054
4,1700233842.96679,0.1832975149154663,0.0071393847465515,0.2447463572025299,-2.320008516311645,-0.8840348720550537,-1.79285871123319,-2.319473752654497,-0.8829359813773402,-1.7958757737338524,0.1513012607500772,0.0140531142887054,0.2038567577955299,0.08743945648476484
5,1700233843.1667535,-0.0783039927482605,-0.2414197921752929,1.1195589303970337,-2.320258378982544,-0.8855441808700562,-1.6991999825995685,-2.319398589455271,-0.8827294608917602,-1.7437115197203916,0.7475545603889605,0.0002393932540044,0.0290348679267933,0.06526379702804705
6,1700233843.3668027,0.0412595868110656,0.0923424363136291,1.0530787706375122,-2.321826219558716,-0.8897762298583984,-1.5433664066163195,-2.3199388693085177,-0.8854955541225804,-1.6572671630924525,0.9363753558168476,0.0493916608468149,0.0373731975127739,0.1342795302035121
7,1700233843.464649,0.1202034950256347,0.0124224424362182,1.0150750875473022,-2.3220601081848145,-0.8947149515151978,-1.4331913120906017,-2.320234450856121,-0.8894730549014254,-1.5606669421252966,0.9842716953477356,0.0367458762550223,0.0882233221195951,0.10597638370961218
8,1700233843.564673,0.0476347208023071,0.0776894688606262,0.9767152070999146,-2.3214199542999268,-0.9003806114196777,-1.3360519662060664,-2.320229410069753,-0.8939504008175109,-1.4625250479393537,0.9798963140425044,0.0634042354746197,0.0634962854167146,0.042188267324612866
9,1700233843.664657,0.2524316906929016,0.1777164936065673,0.9932726621627808,-2.320181131362915,-0.9061827659606934,-1.2461668652922229,-2.319436874534775,-0.9016220732221408,-1.3638999641331015,0.9907254475354792,0.1113150543096141,0.1809516472872611,0.06534866683420315
