,kf_x,kf_y,kf_theta,kf_omega,kf_v,kf_vdot,odom_v
0,-2.3196679788103456,-0.8837420195022658,-1.805350836231058,3.931425208765387e-06,0.00025701987278925855,0.015061364545450552,0.0
1,-2.3199978917333772,-0.8851226809228148,-1.8053503642965008,5.169585776579838e-06,0.02317531839786044,0.0036626988677295833,0.03610356180097222
2,-2.320185290055531,-0.8859069399144371,-1.8053479303645659,3.5521655296606645e-05,-0.0007824993532717199,-0.002636881808552256,-0.015486731730230033
3,-2.3207011662868586,-0.8880658540314549,-1.8053521123942065,-8.841535471769372e-05,0.04696660161105369,0.23821845952910894,0.06985021289190317
4,-2.3215102072458604,-0.8915294791701264,-1.7959721205763706,0.1512357545256614,0.050797818107599854,0.20396240392187384,0.03943418931156375
5,-2.3223352138337083,-0.8955796799888118,-1.7443849081509897,0.7408317494767539,0.04797196210019489,0.029262761986055763,0.08061899238721253
6,-2.32340238323524,-0.9016938125808939,-1.6583428470016184,0.9345617839525644,0.07490014879180065,0.03708379140010866,0.06933858548322736
7,-2.323889745238505,-0.907980317233913,-1.5619256697356347,0.9822564284528357,0.05834870609665995,0.08804628688111767,0.08593640221003876
8,-2.3239135927941836,-0.9157461953612068,-1.4640636054339602,0.9774670270770893,0.11167650708493049,0.0639304271876907,0.17542103872332732
9,-2.322708114578199,-0.9267818847235076,-1.365472128828968,0.9911388494781208,0.12230526619954696,0.18040710408585803,0.06651293462895472
10,-2.3204520659803576,-0.9373712987787025,-1.2661150597283026,0.9936589690250245,0.10033342700464583,0.12026154009604428,0.09579979286591744
11,-2.31756930373062,-0.9464218061851726,-1.164956928105847,1.0222428475417107,0.099914828803919,0.11919481498439112,0.08980431429838637
12,-2.3108467601704086,-0.9625692422740587,-1.0544537631778792,1.1659596568641788,0.3303324594153906,0.2183772339720782,0.14475347580140527
13,-2.2994862737861292,-0.9813651496603533,-0.926644992148475,1.3360596820473063,0.04075811397950324,-0.1641308325037174,0.06813179979473075
14,-2.295405375875252,-0.9871360601861894,-0.8012232099627131,1.2072613509905687,0.09654111512511758,-0.04238503565561798,0.08441595602835443
15,-2.2848657565357433,-0.998468920050905,-0.6893793311893306,1.0691711832455937,0.2913787767467929,0.3015252841390318,0.1939317157916295
