t,imu_ax,imu_ay,odom_omega,odom_x,odom_y,odom_theta,kf_x,kf_y,kf_theta,kf_omega,kf_v,kf_vdot,
1700233641.722912, 0.016348421573638916, -0.001617133617401123, 1.2143019603172434e-06, -2.679267644882202, -3.385486364364624, 2.052318372548484, -2.679248763528043, -3.385522497680501, 2.0523184211205625, 7.285811761903461e-07, 0.00020384565553165714, 0.012251123897452604, 
1700233641.8204982, 0.0038709640502929688, -0.01778954267501831, 0.0, -2.679267644882202, -3.385486364364624, 2.05231836571018, -2.6792355893330786, -3.385547709176871, 2.0523181139204456, -3.4520594063788e-06, 0.0004215334017924526, 0.006905584366565748, 
1700233641.9204538, 0.004885971546173096, 0.009291648864746094, 2.3845789201004663e-06, -2.679267644882202, -3.385486364364624, 2.052318519764891, -2.6792352468396166, -3.3855483646328524, 2.05231844417913, 3.463411864058442e-06, 0.00039883333409563833, 0.005640795059430481, 
1700233642.0204663, 0.5559114813804626, -0.07010042667388916, 0.0, -2.679267644882202, -3.385486364364624, 2.052318519764891, -2.6789209739582898, -3.38614978966085, 2.052315830217587, -2.6313752160539805e-05, 0.006184237229330786, 0.3457381328110226, 
1700233642.2225726, 1.3482073545455933, -0.22668999433517456, -0.08376678079366684, -2.6800291538238525, -3.3837244510650635, 2.0481099715218902, -2.6786298902394643, -3.386703810798151, 2.047989322332378, -0.04332848555506733, 0.04960020122783405, 0.9649829834010021, 
1700233642.422629, 0.5640523433685303, -0.3324039578437805, -0.21946744620800018, -2.684493064880371, -3.372472047805786, 2.0282274505462037, -2.6812116927710457, -3.381654857692269, 2.0332600316169325, -0.14733299010823583, 0.14631879542158582, 0.7174028332676184, 
1700233642.6225731, 0.8680799603462219, 0.11928355693817139, -0.36364123225212097, -2.6963205337524414, -3.345536708831787, 1.9833917697452388, -2.687836663918611, -3.3682059335817276, 2.0101451899089424, -0.23126653471854697, 0.22818970687438928, 0.8106211605559843, 
1700233642.7204363, 0.14625895023345947, -0.27283430099487305, -0.43946149945259094, -2.707454204559326, -3.317058563232422, 1.9419851989557733, -2.6983467829125676, -3.345412946460359, 1.9731335273184294, -0.37200270415473596, 0.32973180603051067, 0.40072705361775124, 
1700233642.8204427, 0.05038714408874512, 0.08418798446655273, -0.34844034910202026, -2.7200584411621094, -3.2804982662200928, 1.9001535585038811, -2.7103856548429777, -3.317436753275754, 1.9425260406357636, -0.30269217168348134, 0.31586301350798085, 0.18345056259105957, 
1700233642.9204726, -0.6375015377998352, -0.2825910449028015, -0.33069244027137756, -2.730591297149658, -3.2458584308624268, 1.8670635109050806, -2.7228552568015485, -3.285264456074547, 1.9069793715455565, -0.36228310877447195, 0.36626165945319167, -0.32291381026304783, 
1700233643.020445, 0.006667673587799072, 0.08483785390853882, -0.38433554768562317, -2.7388968467712402, -3.214301347732544, 1.8322577851115591, -2.7344105486999823, -3.252478033425772, 1.8752311762131288, -0.3107184870279763, 0.3061552848270207, -0.11989688777935734, 
1700233643.1204596, -0.01564967632293701, 0.15177065134048462, -0.3328810930252075, -2.7471072673797607, -3.1788277626037598, 1.797052251893973, -2.743880794924774, -3.2228726415944, 1.8491951226111312, -0.2541723331878612, 0.2987875159609455, -0.05547211349920374, 
1700233643.2204993, 0.6700000762939453, 0.5148956775665283, -0.342928409576416, -2.754578113555908, -3.139763116836548, 1.7595910987015142, -2.7516722217419245, -3.196429828173063, 1.8336291245552303, -0.13951501104857245, 0.26047050789384957, 0.39189533698544665, 
1700233643.3204637, 0.0297011137008667, -0.13655680418014526, -0.3199184238910675, -2.760509729385376, -3.102830171585083, 1.7260033945748425, -2.7589683929097766, -3.1685789314710946, 1.810834080786436, -0.2420222185517393, 0.3465870691801753, 0.16908217037023837, 
1700233643.4204588, -0.37909430265426636, -0.2961331605911255, -0.31036248803138733, -2.76472544670105, -3.069235324859619, 1.699219640342434, -2.767573079409553, -3.1326247283276647, 1.7786398357611097, -0.33249843059245077, 0.39361516320646034, -0.1688879161944548, 
1700233643.5204592, 0.15981662273406982, -0.4186893701553345, -0.32312092185020447, -2.7678966522216797, -3.032381772994995, 1.6666132881499354, -2.775877217479778, -3.0921409588611084, 1.7377764852780357, -0.41987251911301166, 0.4253726658582284, 0.03495288286186299, 
1700233643.6204648, -0.4585905075073242, -0.44608449935913086, -0.3431045114994049, -2.770613431930542, -2.9913220405578613, 1.6305642172143664, -2.78311221893175, -3.0485046758595113, 1.6910156483821144, -0.4773337111592732, 0.4500851877043527, -0.269421256592255, 
1700233643.7204542, -0.10485649108886719, -0.06455975770950317, -0.345394104719162, -2.7714433670043945, -2.9544737339019775, 1.5964774241887734, -2.7884252665722973, -3.006305654458178, 1.6506168869711744, -0.38538059902559874, 0.3713726239494307, -0.16876211370069744, 
1700233643.8204417, -0.2730795741081238, -0.499908447265625, -0.3287692666053772, -2.770935297012329, -2.921772003173828, 1.5666042954157189, -2.7915593722356777, -2.96572416701917, 1.6063579793917864, -0.46348778853514244, 0.42961399613159695, -0.23180055094771462, 
1700233643.9204652, 0.08541679382324219, -0.22678780555725098, -0.34036341309547424, -2.768951654434204, -2.8795785903930664, 1.527690564789918, -2.7931516085877215, -2.923277046348086, 1.562871579140124, -0.4279383335867014, 0.4007514723038825, -0.03603905574870403, 
1700233644.0204592, 0.005827963352203369, -0.36786985397338867, -0.34361645579338074, -2.766521692276001, -2.84499454498291, 1.4954399282338178, -2.7927939376474527, -2.8816830334420405, 1.5182857589789158, -0.4530364663761211, 0.43025854520908274, -0.009587390073275255, 
1700233644.1203651, 0.15655940771102905, -0.11501264572143555, -0.30880722403526306, -2.762409210205078, -2.8073980808258057, 1.4641354571212477, -2.790812738072681, -2.840305305129479, 1.4792481459334332, -0.3737011905976654, 0.39121810634067167, 0.09228780452735094, 
1700233644.220465, 0.06427323818206787, -0.005900681018829346, -0.28770026564598083, -2.7579193115234375, -2.773449420928955, 1.4381332218226532, -2.7875423592266424, -2.8024397047152467, 1.4480103924932823, -0.29633585710450183, 0.3655432381514182, 0.07432050863480191, 
1700233644.32045, 0.5839664936065674, -0.05823314189910889, -0.30950114130973816, -2.7519309520721436, -2.7362124919891357, 1.408156355694599, -2.783130453293711, -2.7667569463429493, 1.4191283579951663, -0.2857912852065582, 0.37440107492399094, 0.38904771846889286, 
1700233644.4205003, 0.3205137848854065, -0.09038496017456055, -0.24951903522014618, -2.7437877655029297, -2.695138454437256, 1.3783508435873144, -2.7776531384583154, -2.730624096773145, 1.39228076312089, -0.263833113775079, 0.39289565082690303, 0.34636364893606303, 
1700233644.5204518, 0.0757644772529602, -0.02507948875427246, -0.2520328462123871, -2.7355082035064697, -2.6569299697875977, 1.3526251905130666, -2.771046790679542, -2.6936893330306133, 1.3681988379605505, -0.23427867684043516, 0.38619833200912335, 0.17853997510193773, 
1700233644.620455, 0.09566199779510498, 0.22193920612335205, -0.25086283683776855, -2.7271974086761475, -2.6228976249694824, 1.3292420819791642, -2.763919287946281, -2.6578640767639534, 1.3522097228990888, -0.14314932830870986, 0.3559570367836452, 0.1264944556328882, 
1700233644.7204494, 0.25936567783355713, -0.2741338014602661, -0.2483583241701126, -2.7167747020721436, -2.5855069160461426, 1.3048361371006592, -2.755750582067878, -2.622473132585721, 1.3286543147130172, -0.25392546659911874, 0.3957016084743845, 0.209053188783535, 
1700233644.8204534, 0.368615984916687, -0.33311963081359863, -0.24478404223918915, -2.7046260833740234, -2.5447089672088623, 1.2773235224411228, -2.745948467286427, -2.5836083134544574, 1.2973717249053898, -0.32367436179717407, 0.43490434313355864, 0.3079170702137708, 
1700233644.9204466, -0.12631022930145264, -0.6172029376029968, -0.2735746502876282, -2.692704439163208, -2.508242607116699, 1.2518200947814606, -2.733462712353027, -2.540529998495772, 1.2532463415147548, -0.4648099385861899, 0.48877103941178873, 0.04022511195123346, 
